track_name,artists,track_id,track_genre
If You Can't Make Me Happy,Kirsty Almeida,5x9pr7zPJOIrhnScDRwT8b,rock
True Love,Silvio,7tDYnumsmgj9Dsl6dfw0RY,rock
Hora incerta,Márcia,0DICgUQ97hQeJj0z6pgyw9,rock
A Party Able Model Of,Joan Of Arc,7wdTKbkjta26ViHsHjsALA,rock
Palm Trees,The Fierce & the Dead,7cHN0Sq6mxfVYKocNptbP6,rock
Ako Odeš,Colonia,3d81okBl1gLcPPFHr1DDDP,rock
Closing Time,Semisonic,0vvassLAF0xFzSdVpWkvo9,rock
Lūkesčiai Ir Pasiekimai,Sinickis,0jO9q3dvVquN7DR9NkjB7d,rock
Baby I'm-A Want You,Bread,5zqbo4Tiyw03zrHbwFzaej,rock
Free Style,Villa Cariño,3jS9aNxJ9mVbeCEk4IGD2w,rock
So Long - Reanimate Me: The Sarandons Live at Trench Recordings,The Sarandons,36lcoErSH802f8KM4tou0M,rock
Figure in the Mirror - INertia Reflection Rmx,L'âme Immortelle,1Yjr2AfixH1Pkacl7L16hA,rock
Who's Foolin' Who - MMXXIII Version,Bonfire,2LtI5qc8PmeMFHNcoAMfdq,rock
Wild Wild Life,The Zen Circus,1CFBmkJ67dZfCGeOqGYyB7,rock
La Java,Les Respectables,02uqMmUrTXoXqqgzOwMbW0,rock
Kool & The Gang,Kool & The Gang,0dGjQ1hZqECOn8QuKrqsD5,rock
Snowball,DEVO,7BJIcG07Gjyca9skBOO6CE,rock
Todas Nuestras Luchas,Itaca Band,6RLF8EP0qDJLBcixA4hD51,rock
Envoyé,The Young Gods,76Bn4GMLcCoWdYPsDaUnla,rock
China Grove - 2006 Remaster,The Doobie Brothers,1NVAtPMxPlyRvISHv8JpXa,rock
On Your Way Now,Sharon Van Etten,7gBMYskozVv5YsFg6JHI4c,rock
Naerame,Paha Polly,7DjYN3ngX3lmhoF3yrKj7J,rock
La Añera,Atahualpa Yupanqui,4zkk8oZfN3WfL66xRHcc1L,rock
Where No One Knows Your Name,Stereo Honey,4voFG3Ycww4HpeRE0OmBMC,rock
Seni Gördüm Rüyamda - Live,Canozan,6tdVBlkiUd86XKBvIpFAx6,rock
"Into the Mystic - Live at the Santa Monica Civic, Santa Monica, CA - May 1973",Van Morrison,4WnjR7sHtsI490wYLTzvoi,rock
Sarjeta,Acústicos & Valvulados,2RoWreSm0xafRfctW95Gmy,rock
Stressed Out,Twenty One Pilots,0eQTHPjkleTE9gnNEM2MGy,rock
Torito Es Muerto,Indio Solari,6BxOyNNe4LNzNmLVrxv2Rk,rock
Nameless,Trummer,0H2nx2hIkjtA6xoGaBYsHS,rock
Six Guns - 1973 Demo Tape,Milk 'N' Cookies,7L9Mu0uVYOzJOVFgyeV1Nc,rock
Black Sun,Hawkwind,4mZx4TCPO6WLDydD4VEEXo,rock
Crackhouse - More Radio Mix,Consolidated,4rmRgEPsOTOhzM7FvDGnYM,rock
Dale Fuego,Pablo Valdés & The Crazy Lovers,0l3EP2bW8SpMp4X8lT7kff,rock
Straight Up Boogaloo,The Muggs,4Os2W7u9z2lvGpQ17VVITo,rock
Escondido,Santropia,7qKgTwzTGJUqlnl8zaT86n,rock
FUCKIN' BIRTHDAY,Newrotica,2A1GsBeCQbw6Ri4PqOCjr5,rock
La Música Suena,Medina Azahara,7AoTEZLlCBfBi9kscCuV3R,rock
ลูกลุงขี้เมา,Carabao,1FAvFKH1wP1qKomrPgC7V9,rock
Here Comes the Pain,Paul Revere & The Raiders,7ltvVaQmcfwVEVWLgHC4Wh,rock
Tyttö on romuna,Zen Cafe,0oJkaBmnN8vQoFQNZrbpUX,rock
O tempo (não passa),Ls Jack,2cQhLX182k6cp0lALEbD9H,rock
Inheritance,Scorpions,5CoWlopadvTeOFNU7NY5AO,rock
River was Filled with Stories 水の線路,World's End Girlfriend,4kXDHy4JtWKvGmowev5D84,rock
Trenaren Zain,Ken Zazpi,1JeLJAeqEvarFqgogFqyzI,rock
Арест,Pornofilmy,2LIYtchcgW0qdFR4Crof8J,rock
Gott ist ein Popstar - Silverstar Remix,OOMPH!,6QTTnXq9OqJBRLWc9eKzBD,rock
"I'm Mee, I'm Now, An' That's Orl",Slade,299KMS59LvkPgWflQIsLET,rock
Let It Ride,Bag of Toys,3Twzpai7peAt1I9QqDh5yy,rock
Blue Velvet,Brenda Lee,0HqzgCnEhYpHG86oCXHmfg,rock
Secret O' Life,James Taylor,3IGAJam8XPmbBjCAvpCW8N,rock
Fim,Tallene,07x4gS4Xg0eBCYuesnmv3j,rock
God's Beer,Big Fat Hen,0JPBeshTWdUOs4Jgcm5tuO,rock
A.B.C.,Dato M.Daud Kilau,4Kx8wWIs8gY8nJ2nzYjtyA,rock
Encore: Embryonic Journey - Live - Show 1,Jorma Kaukonen,62hLcN03JKxW75RKpgHcwM,rock
Nina Autio,Klamydia,2u2vWdXiEozGt2uujFuDPf,rock
Йога-вьюга,Sansara,5upPRvGy56AuLSEkeTOTD3,rock
Ahmad,EL S. Vidal Quintero,4gnwvuzL6WmbLdcYUxd5gH,rock
元彼女として,My Hair is Bad,61ljG8KY152M7NbRcXXAes,rock
Soy el Infierno,Disidente,6OF845d9gV38q3HvpN2kRS,rock
¿Adónde Está la Libertad? (En Vivo Estadio Vélez Sarsfield) (feat. Juanse),Luis Alberto Spinetta,277v644BmDbLebOqY9rr80,rock
החסד,Gilad Segev,7LcYBTbz3bdl3N6wHzRaDV,rock
Mated - Switchblade Symphony Mix,Todd Rundgren,1qnwHRtAZG0auYhbSOY9zG,rock
Opportunità,Cassandra De Rosa,1vFYoGFuPt9aeOVjoaJKab,rock
Carolina Rain (Live in Copenhagen),Ryan Adams,42iBmiBApINV6Ifj9ESM2M,rock
Tempo Ruim - Ao Vivo,Jimmy & Rats,27lvEub5K5DsXNepEK2YUB,rock
Kotıra Rayê,Koma Amed,5lpgDCODsJvz7RZlby2YvP,rock
Naïf,Lazuli,3inEnbTmMXRKU1hTtHwpSj,rock
Just Can't Quit You - Live,Cuby & The Blizzards,66pwLiqL6sQQgpc9qOZ4wk,rock
Fake Plastic Trees,Young Guns,1vR7H0byJURJBUnLPTLDaB,rock
Flinch,Sleepytime Gorilla Museum,1ycwqfSvgkekyiGagZ2mSM,rock
Love And Terror,The Cinematics,0StlevVUPW6fIpNwGONrr8,rock
Ginger lily,NICO Touches the Walls,2XJjspMQluwLDsLNqdcBbR,rock
Down There With You,Leæther Strip,3Z5InjWPmAaF3XpFMjHwkA,rock
Järjen ohimarssi,Sammal,2PIUZgpZInnISOTMwKmcaj,rock
"God, Your Mama, And Me",Florida Georgia Line,5HVlfWklvjXuXF8RgjgEnp,rock
Kettle's On,The Feeling,5lxof5y70CzOYA3yTRN8pw,rock
Proud Mary - 2023 Remaster,Tina Turner,1xXbs3yhBloEFKHRbrvGTA,rock
Música feliz,Os Resentidos,2sWSEmne3TLK51jgIMAYUu,rock
White Shadow,Peter Gabriel,0x09YP0IunwdS2lTcMa0gj,rock
Knightmare/Frame,Area 11,6yN7oRD7YfbN0PVdVdWZRg,rock
Get It Right Up Ye,The Scratch,4hT9DddmvoSUo5RCYdYCsJ,rock
Prijatelj,Divlje Jagode,7zMyg4vv8oh7fW5JcOCVxS,rock
How Far Can You Fall ?,Buddaheads,7DNjKmxUUgP2eXFI5kIIve,rock
